DateKey,ProductKey,UnitsBalance,UnitsIn,CostIn,UnitsOut,TotalOut
20050630,1,438.0,0.0,0.0,0.0,0.0
20050630,2,438.0,0.0,0.0,0.0,0.0
20050630,3,438.0,0.0,0.0,0.0,0.0
20050630,4,438.0,0.0,0.0,0.0,0.0
20050630,5,438.0,0.0,0.0,0.0,0.0
20050630,6,438.0,0.0,0.0,0.0,0.0
20050630,7,438.0,0.0,0.0,0.0,0.0
20050630,8,438.0,0.0,0.0,0.0,0.0
20050630,9,438.0,0.0,0.0,0.0,0.0
20050630,10,438.0,0.0,0.0,0.0,0.0
20050630,11,438.0,0.0,0.0,0.0,0.0
20050630,12,438.0,0.0,0.0,0.0,0.0
20050630,13,438.0,0.0,0.0,0.0,0.0
20050630,14,438.0,0.0,0.0,0.0,0.0
20050630,15,438.0,0.0,0.0,0.0,0.0
20050630,16,438.0,0.0,0.0,0.0,0.0
20050630,17,438.0,0.0,0.0,0.0,0.0
20050630,18,88.0,0.0,0.0,0.0,0.0
20050630,19,88.0,0.0,0.0,0.0,0.0
20050630,20,88.0,0.0,0.0,0.0,0.0
20050630,21,88.0,0.0,0.0,0.0,0.0
20050630,22,88.0,0.0,0.0,0.0,0.0
20050630,23,88.0,0.0,0.0,0.0,0.0
20050630,24,88.0,0.0,0.0,0.0,0.0
20050630,25,88.0,0.0,0.0,0.0,0.0
20050630,26,88.0,0.0,0.0,0.0,0.0
20050630,27,88.0,0.0,0.0,0.0,0.0
20050630,28,88.0,0.0,0.0,0.0,0.0
20050630,29,88.0,0.0,0.0,0.0,0.0
20050630,30,88.0,0.0,0.0,0.0,0.0
20050630,31,88.0,0.0,0.0,0.0,0.0
20050630,32,88.0,0.0,0.0,0.0,0.0
20050630,33,88.0,0.0,0.0,0.0,0.0
20050630,34,438.0,0.0,0.0,0.0,0.0
20050630,35,438.0,0.0,0.0,0.0,0.0
20050630,36,438.0,0.0,0.0,0.0,0.0
20050630,37,438.0,0.0,0.0,0.0,0.0
20050630,38,438.0,0.0,0.0,0.0,0.0
20050630,39,438.0,0.0,0.0,0.0,0.0
20050630,40,438.0,0.0,0.0,0.0,0.0
20050630,41,438.0,0.0,0.0,0.0,0.0
20050630,42,438.0,0.0,0.0,0.0,0.0
20050630,43,438.0,0.0,0.0,0.0,0.0
20050630,44,438.0,0.0,0.0,0.0,0.0
20050630,45,438.0,0.0,0.0,0.0,0.0
20050630,46,438.0,0.0,0.0,0.0,0.0
20050630,47,438.0,0.0,0.0,0.0,0.0
20050630,48,438.0,0.0,0.0,0.0,0.0
20050630,49,438.0,0.0,0.0,0.0,0.0
20050630,50,438.0,0.0,0.0,0.0,0.0
20050630,51,438.0,0.0,0.0,0.0,0.0
20050630,52,438.0,0.0,0.0,0.0,0.0
20050630,53,438.0,0.0,0.0,0.0,0.0
20050630,54,438.0,0.0,0.0,0.0,0.0
20050630,55,438.0,0.0,0.0,0.0,0.0
20050630,56,438.0,0.0,0.0,0.0,0.0
20050630,57,438.0,0.0,0.0,0.0,0.0
20050630,58,438.0,0.0,0.0,0.0,0.0
20050630,59,438.0,0.0,0.0,0.0,0.0
20050630,60,438.0,0.0,0.0,0.0,0.0
20050630,61,438.0,0.0,0.0,0.0,0.0
20050630,62,438.0,0.0,0.0,0.0,0.0
20050630,63,438.0,0.0,0.0,0.0,0.0
20050630,64,438.0,0.0,0.0,0.0,0.0
20050630,65,438.0,0.0,0.0,0.0,0.0
20050630,66,438.0,0.0,0.0,0.0,0.0
20050630,67,438.0,0.0,0.0,0.0,0.0
20050630,68,438.0,0.0,0.0,0.0,0.0
20050630,69,438.0,0.0,0.0,0.0,0.0
20050630,70,438.0,0.0,0.0,0.0,0.0
